"Index::Grid","Index::Grid"
"Forkel_Bars::ID","ID"
"Forkel_Bars::Server","Server"
"Forkel_Bars::Name","Name"
"Forkel_Bars::Description","Beschreibung"
"Forkel_Bars::Status","Status"

"Index::Form","Index::Form"
"Forkel_Bars::Color","Farbe"
"Forkel_Bars::Background Color","Hintergrundfarbe"

"Server::Grid","Server::Grid"
"Forkel_Bars::Name","Name"
"Forkel_Bars::Hostname","Host Name"

"Forkel_Bars::Add New","Neuer Datensatz"
"Forkel_Bars::Edit","Editieren"
"Forkel_Bars::New","Neu"
"Forkel_Bars::Enabled","aktiviert"
"Forkel_Bars::Disabled","deaktiviert"

"Forkel_Bars::The name of the environment.","Der Name der Umgebung."
"Forkel_Bars::The hostname without http and slashes /.","Der Host Name ohne http und Schrägstriche /."
"Forkel_Bars::The requested record was not found.","Der angeforderte Datensatz wurde nicht gefunden."
"Forkel_Bars::New Record","Neuer Datensatz"
"Forkel_Bars::Save Record","Datensatz speichern"
"Forkel_Bars::The record ( %s ) has been saved.","Der Datesatz ( %s ) wurde gespeichert."
"Forkel_Bars::An error occurred while saving this record.","Beim speichern ist ein Fehler aufgetreten."
"Forkel_Bars::Please select one record.","Bitte wählen Sie einen Datensatz aus."
"Forkel_Bars::The selected record was successfully deleted.","Der ausgewählte Datensatz wurde erfolgreich gelöscht."
